name	min	    max	    mean
MM05	1679	5226	2260.701219512195
MM05	4911	4989	4948.640243902439
MM08	1594	3773	2219.8307692307694
MM08	4989	4999	4998.8538461538465
MM09	1445	2444	1889.328244274809
MM09	4982	4999	4998.412213740458
MM10	1462	10966	2152.8167938931297
MM10	4983	4999	4998.87786259542
MM11	1857	5806	2540.8244274809163
MM11	4979	5045	5012.633587786259
MM12	1858	3285	2367.4656488549617
MM12	4971	4999	4995.541984732825
MM14	2039	6128	2625.8625954198474
MM14	4972	4999	4996.541984732825
MM15	1512	56553	2834.312977099237
MM15	4838	4999	4977.87786259542
MM16	1962	2613	2032.3435114503816
MM16	4981	4999	4998.618320610687
MM18	1560	8592	2405.1068702290077
MM18	4966	4999	4996.12213740458
MM19	1990	3017	2380.664122137405
MM19	4957	4999	4991.770992366412
MM20	1918	2972	2357.0687022900765
MM20	4947	4999	4981.091603053435
MM21	1812	2768	2247.312977099237
MM21	4962	4999	4992.305343511451
P02	    1811	159530	3895.310975609756
P02	    4928	4994	4963.707317073171
